Library Code,Library Name,Latitude,Longitude
147125,구룡포 미르아라작은도서관,35.9911577,129.552533
141020,구리시 교문도서관,37.5951497,127.13455
141070,구리시 인창도서관,37.6050723,127.1456099
141225,구리시 토평도서관,37.5860642,127.1457728
111458,구립구산동도서관마을,37.609945,126.912942
111482,구립내를건너서숲으로도서관,37.5913717,126.9078047
111126,구립상림도서관,37.644362,126.928860
111491,구립은뜨락도서관,37.6123992,126.9292744
111452,구립은평뉴타운도서관,37.636592,126.931654
111124,구립응암정보도서관,37.586221,126.919621
111110,구립증산정보도서관,37.582973,126.907543
147062,구미시립봉곡도서관,36.1529195,128.3076996
147119,구미시립상모정수도서관,36.0873769,128.3564442
147029,구미시립선산도서관,36.2387879,128.3048705
147169,구미시립양포도서관,36.1387724,128.4187321
147051,구미시립인동도서관,36.0990913,128.4236401
147038,구미시립중앙도서관,36.1140333,128.335603
141118,구성도서관,37.2965012,127.1189634
130022,구암도서관,36.3492563,127.3300408
111305,구의제3동도서관,37.5380702,127.0896864
125013,구즉도서관,36.4294702,127.3805883
727011,구지면 작은도서관,35.6604264,128.415043
50001,국립세종도서관,36.4989631,127.268342
711352,국사봉숲속작은도서관,37.4956113,126.9388023
145036,군산교육문화회관,35.9708598,126.7365741
145009,군산교육문화회관 대야분관,35.9489434,126.8188947
145155,군산시립금강도서관,35.9676772,126.7366293
145121,군산시립늘푸른도서관,35.9606645,126.6989171
145002,군산시립도서관,35.9658352,126.7112168
145151,군산시립산들도서관,35.9204731,126.6696889
145122,군산시립설림도서관,35.9730164,126.6844042
145029,군산시립임피채만식도서관,35.9872902,126.8486696
111521,군자동도서관,37.5554909,127.0754515
141135,군포시중앙도서관,37.3551341,126.9157442
111471,궁동어린이도서관,37.4837252,126.8413333
131061,극동푸른작은도서관,35.6415845,129.3480783
147141,근남작은도서관,36.9636125,129.3955823
147121,근로종합복지회관작은도서관,35.9772867,129.379979
741001,글마루작은도서관,37.4789141,126.796399
111235,글마루한옥어린이도서관,37.5068616,126.8456141
148170,글밭작은도서관,34.8843826,128.6189394
111500,글빛도서관,37.6041556,127.0224390
111062,글빛정보도서관,37.4861679,126.95965
148075,글혜윰작은도서관,35.310179,128.730168
144041,금산기적의도서관,36.1109996,127.4906171
144046,금산인삼고을도서관,36.1112746,127.4912762
144069,금산작은도서관,36.0975478,127.4916323
143017,금왕교육도서관,36.9901121,127.5921688
111077,금천구립가산도서관,37.4734504,126.8921274
111113,금천구립금나래도서관,37.4567667,126.8954005
111040,금천구립독산도서관,37.4674481,126.9080502
111434,금천구립시흥도서관,37.4524516,126.9070357
741292,금촌무지개작은도서관,37.766106,126.774515
124007,금호평생교육관,35.1453424,126.9006562
147108,기계면 버드내작은도서관,36.0704002,129.20648
147143,기성작은도서관,36.7983267,129.4517485
141239,기흥도서관,37.2862231,127.1141009
145048,길보작은도서관,35.7997455,126.9004444
111515,김근태기념도서관,37.6879391,127.0336271
111502,김영삼도서관,37.5053584,126.949863
145077,김제교육문화회관,35.8067653,126.89217
145022,김제교육문화회관 금산분관,35.7173185,126.9946612
145041,김제금구도서관,35.7751438,127.0125269
145033,김제만경도서관,35.8492989,126.8169325
145026,김제시립도서관,35.7990764,126.8925556
148085,김해글로벗도서관,35.234074,128.881242
148180,김해기적의도서관,35.175871,128.810384
148309,김해율하도서관,35.1718789,128.8138273
148071,김해청소년문화의집,35.242247,128.87837
111516,까망돌도서관,37.505058,126.9607317
131028,꽃바위작은도서관,35.4870523,129.4113238
141215,꿈꾸는새싹작은도서관,37.52592,126.79781
131043,꿈꾸는작은도서관,35.6297775,129.338959
111469,꿈나래어린이영어도서관,37.5551863,126.9056598
727075,꿈날자문고 도서관,35.8702298,128.7259751
111100,꿈마을도서관,37.4871738,126.8902592
111104,꿈을이루는작은도서관,37.5470652,126.9521435
148038,꿈이랑도서관,34.8028677,128.393474
111280,꿈이있는작은도서관,37.5860669,126.9493506
127015,꿈틀 작은도서관,35.8479555,128.5723398
111218,낙성대공원도서관,37.4711007,126.95999
111179,남가좌새롬어린이도서관,37.5782918,126.9240346
128112,남동논현도서관,37.402323,126.7263206
131082,남목도서관,35.5455715,129.4277546
131016,남목작은도서관,35.5424852,129.4255357
141599,남사도서관,37.1523515,127.1726883
127016,남산4동 작은도서관,35.8582424,128.5805671
111180,남산타운 어린이도서관,37.5495114,127.011900
141137,남양주시 별내도서관,37.7081965,127.1177053
141568,남양주시 별빛도서관,37.6509135,127.1204532
141176,남양주시 오남도서관,37.6980757,127.1976087
141146,남양주시 와부도서관,37.5856432,127.2174767
141625,남양주시 이석영뉴미디어도서관,37.658042,127.2952154
141035,남양주시 정약용도서관,37.5859178,127.1707352
141091,남양주시 진건도서관,37.6550996,127.1774145
141521,남양주시 진접도서관,37.7306138,127.193936
141536,남양주시 진접푸른숲도서관,37.7153353,127.1926723
141401,남양주시 퇴계원도서관,37.6490687,127.1455537
141175,남양주시 평내도서관,37.6417066,127.2388929
141585,남양주시 호평도서관,37.6675666,127.2481052
141071,남양주시 화도도서관,37.6500989,127.3058023
711399,남영동 작은도서관,37.545666,126.9730745
145004,남원교육문화회관,35.4101177,127.3819549
145011,남원교육문화회관 운봉분관,35.4409827,127.5320598
145050,남원시립도서관,35.4076967,127.380214
145149,남원시어린이청소년도서관,35.4198906,127.3997991
741464,남한산성작은도서관,37.4773703,127.1872933
148055,남해화전도서관,34.8388957,127.8907146
111112,내손책고운도서관,37.37826,126.97563
148087,내외작은도서관,35.237567,128.857848
741511,내유작은도서관,37.7281026,126.8470859
727055,노원동 작은도서관,35.8909297,128.5663818
111047,노원어린이도서관,37.6580084,127.076284
111058,노원중앙도서관,37.6610613,127.0649973
727098,노원행복 작은도서관,35.8969428,128.5757695
130012,노은도서관,36.381557,127.3206247
711152,녹번만화도서관,37.601393,126.934879
711468,논골작은도서관,37.591147,126.9337221
727010,논공읍 작은도서관,35.730443,128.451975
144022,논산강경도서관,36.1591204,127.0184433
144031,논산연무도서관,36.1264842,127.0972574
144178,논산열린도서관,36.1960813,127.108748
111071,논현문화마루도서관(분관),37.517466,127.040487
141121,누리봄작은도서관,37.6248158,126.7145551
141083,느티나무도서관,37.3340177,127.096092
727073,늘푸른 도서관,35.8935022,128.6451719
111105,늘푸른소나무작은도서관,37.542236,126.955448
711077,늘푸른열린작은도서관,37.5742842,126.9101562
141189,다문화작은도서관,37.332383,126.790301
727012,다사읍 서재 작은도서관,35.8719858,128.49424
727116,다사읍 작은도서관,35.8649215,128.4571628
147167,다산도서관,35.8219087,128.4272761
111513,다산성곽도서관,37.5516036,127.0041767
131037,다울림작은도서관,35.6374664,129.3300097
711325,다울작은도서관,37.4788487,126.973231
150011,다정동도서관,36.4945176,127.250339
143002,단양교육도서관,36.9796323,128.356686
143094,단양군립다누리도서관,36.985817,128.3707666
143019,단양군립매포도서관,37.0324361,128.2972475
111302,달빛마루도서관,37.604481,127.031316
127093,달서구립가족문화도서관,35.8194184,128.5228843
127099,달서구립달서영어도서관,35.8312519,128.5552707
127001,달서구립도원도서관,35.8068385,128.5389385
127012,달서구립본리도서관,35.8405793,128.5418185
127005,달서구립성서도서관,35.8574567,128.5144441
127002,달서구립어린이도서관,35.8224119,128.5470738
327002,달서아트센터 도서관,35.8433779,128.5228444
127081,달성군립도서관,35.8593619,128.462388
127027,달성군청 도서관,35.7745414,128.4313244
127042,달성군청소년센터 작은도서관,35.7238941,128.4550625
142050,담작은도서관,37.871844,127.7316012
711311,답십리1동 아름드리 작은도서관,37.5718898,127.0511352
711085,답십리2동 민들레 작은도서관,37.567353,127.0612752
741011,당곡작은도서관,37.3237954,126.8375919
144034,당진시립송악도서관,36.8903738,126.6939875
144062,당진시립중앙도서관,36.8936538,126.632599
144023,당진시립합덕도서관,36.811625,126.7605331
141266,대곶작은도서관,37.6521773,126.5840833
127087,대구 동구 신천도서관,35.8714979,128.617743
127049,대구 동구 안심도서관,35.864646,128.7025332
127009,대구 북구 구수산도서관,35.9387852,128.5523825
127084,대구 북구 대현도서관,35.8819758,128.6073839
727040,대구 북구 영어 작은도서관,35.881909,128.5835861
127088,대구 북구 태전도서관,35.9284645,128.5456384
127086,대구 서구 비산도서관,35.8685082,128.5733059
127094,대구 서구 비원도서관,35.8861175,128.5693057
127011,대구 서구 어린이도서관,35.8743119,128.5463842
127095,대구 서구 영어도서관,35.8679313,128.5442553
127098,대구 서구 원고개도서관,35.881787,128.5707147
127070,대구 중구 영어도서관,35.8616393,128.6043643
327009,대구 중구청 교양정보실,35.8692838,128.6060779
122001,대구2.28기념학생도서관,35.890772,128.633712
147004,대구광역시교육청삼국유사군위도서관,36.2394613,128.5725268
122009,대구광역시립남부도서관,35.8321174,128.5807653
122011,대구광역시립달성도서관,35.6985758,128.4475554
122010,대구광역시립동부도서관,35.8901654,128.6216004
122002,대구광역시립두류도서관,35.852632,128.5604
122003,대구광역시립북부도서관,35.885182,128.5839
122008,대구광역시립서부도서관,35.8722558,128.5576101
122007,대구광역시립수성도서관,35.8720796,128.6391377
741210,대덕작은도서관,37.588315,126.8755625
148078,대동푸른뜰작은도서관,35.236135,128.993895
148063,대동한마음작은도서관,35.232696,128.865009
111083,대림도서관,37.5082195,126.9040594
127091,대명어울림도서관,35.8417305,128.5735803
111443,대방어린이도서관,37.5029826,126.9251559
727107,대봉2동 작은도서관,35.8589239,128.599461
144032,대산도서관,36.9401513,126.4396125
143024,대소도서관,36.9674899,127.4849331
147102,대송면 큰솔작은도서관,35.97817,129.36225
727025,대신동 작은도서관,35.8648043,128.5768868
141446,대월작은도서관,37.2298164,127.4921844
130007,대전 서구 어린이도서관,36.3050299,127.3684062
125002,대전학생교육문화원,36.3294343,127.4102572
111072,대조꿈나무어린이도서관,37.614157,126.920660
141147,대주작은도서관,37.3757817,127.2614716
711266,대치1동작은도서관,37.4932557,127.056776
150007,대평동도서관,36.4852235,127.251872
148067,대포천작은도서관,35.30723,128.930649
144113,대호지책나래 작은도서관,36.8970354,126.5072679
141216,대화마을작은도서관,37.6725654,126.7351465
148059,덕산작은도서관,35.232338,128.867496
11134704,도곡2동작은도서관,37.483649,127.046369
150001,도담동도서관,36.5153999,127.261748
141182,도란도란작은도서관,37.52704,126.82495
111351,도봉1동 공립 작은도서관,37.6786704,127.0433569
111270,도봉2동 공립 작은도서관,37.6696229,127.0465415
111208,도봉구립무수골도서관,37.6829589,127.0428608
111129,도봉구립학마을도서관,37.662109,127.027821
711319,도봉구청 행복작은도서관,37.6686287,127.0470496
111457,도봉기적의도서관,37.6676581,127.049132
111041,도봉문화정보도서관,37.644055,127.0420503
